sep=,
crm_guid,crm_code,crm_name,crm_doelgroep,crm_locatietype
3bd5f900-130b-ec11-9110-0050569571ea,ACAR,Artemis Academie,Overig hoger onderwijs,Hoofdlocatie
52df2ae7-0c11-e511-80d0-005056956c1a,AERES,Stichting Aeres Groep,MBO,Hoofdlocatie
ecf7e733-0a11-e511-80d0-005056956c1a,AHK,Amsterdamse Hogeschool voor de Kunsten,HBO,Hoofdlocatie
c7a3d065-0c11-e511-80d0-005056956c1a,ALBEDA,Albeda,MBO,Hoofdlocatie
dd605bb2-0b11-e511-80d0-005056956c1a,ALFA,Alfa-college,MBO,Hoofdlocatie
787fd7b9-d76e-e811-80f7-005056956c1a,AMOLF,AMOLF,Onderzoeksinstellingen,Hoofdlocatie
841cadc4-0b11-e511-80d0-005056956c1a,AMPHIA,Amphia Ziekenhuis,STZ,Hoofdlocatie
f1fdba5c-0b11-e511-80d0-005056956c1a,ANTONIUSZKH,St. Antonius Ziekenhuis,STZ,Hoofdlocatie
307ad7b9-d76e-e811-80f7-005056956c1a,AOB,Algemene Onderwijsbond,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
809bef79-af20-e511-80d0-005056956c1a,AOCOOST,Zone.college,MBO,Hoofdlocatie
367a7248-0911-e511-80d0-005056956c1a,ARTEZ,ArtEZ University of the Arts,HBO,Hoofdlocatie
7c41e5e3-0911-e511-80d0-005056956c1a,ASTRON,ASTRON,Onderzoeksinstellingen,Hoofdlocatie
e753130e-0a11-e511-80d0-005056956c1a,AUMC,Amsterdam UMC,UMC,Hoofdlocatie
3f4fc287-0911-e511-80d0-005056956c1a,AVANS,Avans Hogeschool,HBO,Hoofdlocatie
aeb41a46-0a11-e511-80d0-005056956c1a,AVENTUS,ROC Aventus,MBO,Hoofdlocatie
a67a7248-0911-e511-80d0-005056956c1a,BNGRON,Biblionet Groningen,Bibliotheken,Hoofdlocatie
13168ebf-0911-e511-80d0-005056956c1a,BUAS,Breda University of Applied Sciences,HBO,Hoofdlocatie
467ed7b9-d76e-e811-80f7-005056956c1a,CENTERDATA,Stichting Centerdata,Onderzoeksinstellingen,Hoofdlocatie
4547f65a-0911-e511-80d0-005056956c1a,CHE,Christelijke Hogeschool Ede,HBO,Hoofdlocatie
f24dd711-0d11-e511-80d0-005056956c1a,CIBAP,Cibap vakschool voor vormgeving,MBO,Hoofdlocatie
7947f65a-0911-e511-80d0-005056956c1a,CITO,Stichting Cito Instituut voor Toetsontwikkeling,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
9bd10540-0a11-e511-80d0-005056956c1a,CLUSIUS,Vonk,MBO,Hoofdlocatie
3cf3a18d-a507-e611-80db-005056956c1a,CODARTS,Codarts Rotterdam,HBO,Hoofdlocatie
4573b4a6-0d11-e511-80d0-005056956c1a,COG,Christelijke Onderwijs Groep Vallei & Gelderland-Midden,MBO,Hoofdlocatie
2447f65a-0911-e511-80d0-005056956c1a,CPB,Centraal Planbureau,Onderzoeksinstellingen,Hoofdlocatie
b92250f0-c2be-eb11-910b-0050569571ea,CURIO,Curio,MBO,Hoofdlocatie
8e7fd7b9-d76e-e811-80f7-005056956c1a,CWI,Centrum Wiskunde en Informatica,Onderzoeksinstellingen,Hoofdlocatie
9ec33ad9-0d11-e511-80d0-005056956c1a,DAVINCI,Da Vinci College,MBO,Hoofdlocatie
5b43b714-0a11-e511-80d0-005056956c1a,DELTARES,Deltares,Grote technologische instituten,Hoofdlocatie
1cefdc0b-0b11-e511-80d0-005056956c1a,DELTION,Deltion College,MBO,Hoofdlocatie
88503161-0911-e511-80d0-005056956c1a,DESIGNACADEMY,Design Academy Eindhoven,HBO,Hoofdlocatie
aa7fd7b9-d76e-e811-80f7-005056956c1a,DIFFER,DIFFER,Onderzoeksinstellingen,Hoofdlocatie
6e82fa68-0911-e511-80d0-005056956c1a,DRENTHECOLLEGE,DCTerra,MBO,Hoofdlocatie
3a47f65a-0911-e511-80d0-005056956c1a,DRIESTAR,Driestar Hogeschool,HBO,Hoofdlocatie
2e0156ad-0d11-e511-80d0-005056956c1a,EGI,EGI Foundation,Onderzoeksinstellingen,Hoofdlocatie
a382fa68-0911-e511-80d0-005056956c1a,ERASMUSMC,Erasmus MC,UMC,Hoofdlocatie
97bbc0da-0c11-e511-80d0-005056956c1a,ESCIENCECENTER,Netherlands eScience Center,Onderzoeksinstellingen,Hoofdlocatie
93e92ec8-0a11-e511-80d0-005056956c1a,ETZ,Elisabeth TweeSteden Ziekenhuis,STZ,Hoofdlocatie
ae82fa68-0911-e511-80d0-005056956c1a,EUR,Erasmus Universiteit Rotterdam,Universiteiten,Hoofdlocatie
7460582e-b9cf-ed11-b597-000d3a4b7eb5,FIRDA,Firda,MBO,Hoofdlocatie
dbba7775-0911-e511-80d0-005056956c1a,FONTYS,Fontys Hogeschool,HBO,Hoofdlocatie
55b0f277-0c11-e511-80d0-005056956c1a,GH,Stichting Hogeschool Viaa,HBO,Hoofdlocatie
f0cc01d1-0b11-e511-80d0-005056956c1a,GILDE,ROC Gilde Opleidingen,MBO,Hoofdlocatie
b8d7a67b-0911-e511-80d0-005056956c1a,GLR,Grafisch Lyceum Rotterdam,MBO,Hoofdlocatie
c3d7a67b-0911-e511-80d0-005056956c1a,GLU,Grafisch Lyceum Utrecht,MBO,Hoofdlocatie
5203e539-0a11-e511-80d0-005056956c1a,GRAAFSCHAP,Graafschap College,MBO,Hoofdlocatie
6e33d7d2-0d11-e511-80d0-005056956c1a,GRONINGERFORUM,Forum Groningen,Bibliotheken,Hoofdlocatie
a13ac01a-0a11-e511-80d0-005056956c1a,HAN,Hogeschool van Arnhem en Nijmegen,HBO,Hoofdlocatie
cba5c781-0911-e511-80d0-005056956c1a,HANZE,Hanzehogeschool Groningen,HBO,Hoofdlocatie
23459c0b-0d11-e511-80d0-005056956c1a,HAS,HAS green academy,HBO,Hoofdlocatie
91cd796f-1ffa-e811-8102-005056956c1a,HBOAC,HBO-Academy,Overig hoger onderwijs,Hoofdlocatie
651c028e-0911-e511-80d0-005056956c1a,HDH,Hotelschool Den Haag,HBO,Hoofdlocatie
5fc44cc6-f00b-f011-bae3-002248857db5,HFML-FELIX,HFML-FELIX,Onderzoeksinstellingen,Hoofdlocatie
d8d7a67b-0911-e511-80d0-005056956c1a,HHS,De Haagse Hogeschool,HBO,Hoofdlocatie
0a7cd7b9-d76e-e811-80f7-005056956c1a,HKDH,Hogeschool der Kunsten Den Haag,HBO,Hoofdlocatie
073bc01a-0a11-e511-80d0-005056956c1a,HKU,Hogeschool voor de Kunsten Utrecht,HBO,Hoofdlocatie
3c16068d-c3be-eb11-910b-0050569571ea,HMC,Hout- en Meubileringscollege (HMC),MBO,Hoofdlocatie
baa14802-0c11-e511-80d0-005056956c1a,HORIZON,Talland College,MBO,Hoofdlocatie
354fc287-0911-e511-80d0-005056956c1a,HRO,Hogeschool Rotterdam,HBO,Hoofdlocatie
2a4fc287-0911-e511-80d0-005056956c1a,HSLEIDEN,Hogeschool Leiden,HBO,Hoofdlocatie
558f6c2d-0a11-e511-80d0-005056956c1a,HSMARNIX,Marnix Academie,HBO,Hoofdlocatie
e86dd471-a015-e511-80d0-005056956c1a,HSTIO,Hogeschool TIO,Overig hoger onderwijs,Hoofdlocatie
724fc287-0911-e511-80d0-005056956c1a,HSZUYD,Zuyd Hogeschool,HBO,Hoofdlocatie
ed3ac01a-0a11-e511-80d0-005056956c1a,HU,Hogeschool Utrecht,HBO,Hoofdlocatie
534fc287-0911-e511-80d0-005056956c1a,HVA,Hogeschool van Amsterdam,HBO,Hoofdlocatie
674fc287-0911-e511-80d0-005056956c1a,HZEELAND,HZ University of Applied Sciences,HBO,Hoofdlocatie
ff104994-0911-e511-80d0-005056956c1a,IB-GROEP,Dienst Uitvoering Onderwijs - DUO,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
fc1923d5-275b-e711-80e7-005056956c1a,IBFD,IBFD - International Bureau of Fiscal Documentation,Onderzoeksinstellingen,Hoofdlocatie
14114994-0911-e511-80d0-005056956c1a,IHE,Stichting IHE Delft Institute for Water Education,Overig hoger onderwijs,Hoofdlocatie
45af70f9-0c11-e511-80d0-005056956c1a,IKNL,Integraal Kankercentrum Nederland,Onderzoeksinstellingen,Hoofdlocatie
3ca6c781-0911-e511-80d0-005056956c1a,INHOLLAND,Hogeschool Inholland,HBO,Hoofdlocatie
88e92ec8-0a11-e511-80d0-005056956c1a,IPABO,Hogeschool iPabo,HBO,Hoofdlocatie
4ef3a18d-a507-e611-80db-005056956c1a,ISELINGE,Iselinge Hogeschool,HBO,Hoofdlocatie
06121c27-0a11-e511-80d0-005056956c1a,KEMPEL,Hogeschool de Kempel,HBO,Hoofdlocatie
ba41e5e3-0911-e511-80d0-005056956c1a,KENNISNET,Kennisnet,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
03f5316c-9b9d-e511-80d5-005056956c1a,KIEN,Coöperatie KIEN,OSP,Hoofdlocatie
ec10ebb9-0d11-e511-80d0-005056956c1a,KIT,Koninklijk Instituut voor de Tropen,Onderzoeksinstellingen,Hoofdlocatie
cc8e999a-0911-e511-80d0-005056956c1a,KNAW,Koninklijke Nederlandse Akademie van Wetenschappen,Onderzoeksinstellingen,Hoofdlocatie
a5d3b0a0-0911-e511-80d0-005056956c1a,KNMI,Koninklijk Nederlands Meteorologisch Instituut,Onderzoeksinstellingen,Hoofdlocatie
bad3b0a0-0911-e511-80d0-005056956c1a,KONBIB,Koninklijke Bibliotheek,Bibliotheken,Hoofdlocatie
71c5939c-0c11-e511-80d0-005056956c1a,KPZ,Hogeschool KPZ,HBO,Hoofdlocatie
6f3a3614-0c11-e511-80d0-005056956c1a,KWIC,Koning Willem 1 College,MBO,Hoofdlocatie
9dea0ff5-1d01-ed11-82e5-000d3ab78b09,KWR,KWR Water Research Institute,Onderzoeksinstellingen,Hoofdlocatie
d146e5d1-c315-e511-80d0-005056956c1a,LANDSTEDE,Landstede MBO,MBO,Hoofdlocatie
09114994-0911-e511-80d0-005056956c1a,LEIDENUNIV,Universiteit Leiden,Universiteiten,Hoofdlocatie
54fe37c8-ec26-e511-80d0-005056956c1a,LENTIZ,Lentiz Onderwijsgroep,MBO,Hoofdlocatie
53340e19-f86f-ed11-9561-000d3a4b7eb5,LIS,Leidse Instrumentmakers School,MBO,Hoofdlocatie
41640424-a015-e511-80d0-005056956c1a,LOI,LOI Hogeschool,Overig hoger onderwijs,Hoofdlocatie
9865c1cb-0911-e511-80d0-005056956c1a,LSOP,Politieacademie,Overig hoger onderwijs,Hoofdlocatie
